2025-07-24 00:02:42.518 [http-nio-8080-exec-10] INFO  [3c827e6a] AUDIT - AUDIT_REQUEST [3c827e6a] GET /api/products/12 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:42.525 [http-nio-8080-exec-3] INFO  [c76685f4] com.lulu.logging.AuditLoggingFilter - REQUEST [c76685f4] GET /api/products
2025-07-24 00:02:42.529 [http-nio-8080-exec-10] INFO  [3c827e6a] com.lulu.logging.AuditLoggingFilter - RESPONSE [3c827e6a] GET /api/products/12 responded 200 in 12 ms
2025-07-24 00:02:42.529 [http-nio-8080-exec-10] INFO  [3c827e6a] AUDIT - AUDIT_RESPONSE [3c827e6a] GET /api/products/12 | Status: 200 | Duration: 12 ms
2025-07-24 00:02:42.534 [http-nio-8080-exec-4] INFO  [33f94a64] com.lulu.logging.AuditLoggingFilter - REQUEST [33f94a64] GET /api/products/12
2025-07-24 00:02:42.534 [http-nio-8080-exec-4] INFO  [33f94a64] AUDIT - AUDIT_REQUEST [33f94a64] GET /api/products/12 | IP: 0:0:0:0:0:0:0:1 | UserAgent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36 | Referer: http://localhost:5173/
2025-07-24 00:02:42.540 [http-nio-8080-exec-4] INFO  [33f94a64] com.lulu.logging.AuditLoggingFilter - RESPONSE [33f94a64] GET /api/products/12 responded 200 in 6 ms
2025-07-24 00:02:42.540 [http-nio-8080-exec-4] INFO  [33f94a64] AUDIT - AUDIT_RESPONSE [33f94a64] GET /api/products/12 | Status: 200 | Duration: 6 ms
2025-07-24 00:02:42.556 [http-nio-8080-exec-3] INFO  [c76685f4] com.lulu.logging.AuditLoggingFilter - RESPONSE [c76685f4] GET /api/products responded 200 in 31 ms
2025-07-24 00:02:42.560 [http-nio-8080-exec-6] INFO  [5dce1dec] com.lulu.logging.AuditLoggingFilter - REQUEST [5dce1dec] GET /api/products
2025-07-24 00:02:42.576 [http-nio-8080-exec-9] INFO  [76b715b9] com.lulu.logging.AuditLoggingFilter - REQUEST [76b715b9] GET /api/reviews/product/12
